Structure_TTT,Initial_Community,Herbivory_TTT,Herb_TTT_cm,Mac_Cover_normalized,Mac-Cover_%,Mac_Biomass_Normalized,Mac_Biomass_gm
Skeletons,Macro,2x2,5,0.968421053,92,0.888067582,336.4
Skeletons,Macro,3x3,7.5,0.926315789,88,0.766895459,290.5
Skeletons,Macro,3x3,7.5,0.705263158,67,0.568373812,215.3
Skeletons,Macro,3x3,7.5,0.821052632,78,0.587117212,222.4
Skeletons,Macro,3x3,7.5,0.631578947,60,0.709345301,268.7
Skeletons,Macro,3x3,7.5,0.947368421,90,0.829725449,314.3
Skeletons,Macro,3x3,7.5,0.821052632,78,1.026135164,388.7
Skeletons,Macro,4x4,10,0.578947368,55,0.465417107,176.3
Skeletons,Macro,4x4,10,0.421052632,40,0.343189018,130
Skeletons,Macro,4x4,10,0.978947368,93,0.472544879,179
Skeletons,Macro,4x4,10,0.821052632,78,0.642555438,243.4
Skeletons,Macro,4x4,10,0.547368421,52,0.476768743,180.6
Skeletons,Macro,4x4,10,0.842105263,80,0.605860612,229.5
Skeletons,Macro,open,Ambient,0.389473684,37,0.328933474,124.6
Skeletons,Macro,open,Ambient,0.157894737,15,0.132259768,50.1
Skeletons,Macro,open,Ambient,0.642105263,61,0.384899683,145.8
Skeletons,Macro,open,Ambient,0.884210526,84,0.608500528,230.5
Skeletons,Macro,open,Ambient,0.652631579,62,0.465153115,176.2
Skeletons,Macro,open,Ambient,0.589473684,56,0.371172122,140.6
